,i,x_med,y_med,at_med,quality_flag,bathy_conf,sat_flag,sat_check,n_photons,surf_prom,surf_loc,surf_std,decay_param,trans_mult,noise_above,noise_below,bathy_prom,bathy_loc,bathy_std,surf_prom_f,surf_loc_f,surf_std_f,decay_param_f,trans_mult_f,noise_above_f,noise_below_f,bathy_prom_f,bathy_loc_f,bathy_std_f,turb_score
68,68,-75.51497938386541,35.26554014739763,16147635.688244328,3,1.1130097406603519,0,False,1058,146.4760781982339,0.7627209795871528,0.33133479562244267,-0.11348196132025229,2.4748381722467627,0.7394862452276142,1e-31,2.0121312653611643,23.633465168060546,0.2007685503437064,,,,,,,,,,,242.77386466363635
69,69,-75.51536936134359,35.2632545644205,16147891.502996152,3,1.1424119652146527,0,False,1157,170.65760991508222,0.8091605965669681,0.3267208124037517,-0.12457375743948963,2.4608166038912813,0.5232338621648901,1e-31,2.1357980498038605,24.354843458346565,0.18315935041503736,,,,,,,,,,,268.4536158494537
70,70,-75.5157234748093,35.26112549288693,16148129.684419774,3,1.2342842403779617,0,False,1160,181.58855064542198,0.635527794017133,0.31811413830106916,-0.11866111624695423,2.5556864726036235,0.707723950280626,1e-31,2.0065850711608513,30.915442404653618,0.45629719324184664,,,,,,,,,,,231.46729078334135
71,71,-75.5161117041367,35.258797653577176,16148390.083414352,3,1.0442778676553501,0,False,1072,142.46172834154433,0.7712075001772969,0.3586832122005139,-0.10801801024460006,2.419962714939568,0.7182370461066478,1e-31,0.09991303046418552,1.9887719969767046,0.0031034464724166017,,,,,,,,,,,277.34186804324145
72,72,-75.51648526205182,35.25662856041573,16148632.907725317,3,1.0502180018963723,0,False,1052,130.22863518029845,0.8193262884617352,0.36405334924049826,-0.10406811495202241,2.3842659374260804,0.7287527777181261,1e-31,1.6581729401537066,0.8193281642259902,9.260360055163286e-09,,,,,,,,,,,287.943761357811
73,73,-75.51686303107645,35.25437142241745,16148885.497316448,3,1.0087588356106236,0,False,1105,141.10348387628898,0.7217782770058813,0.3685165906353455,-0.09642108223830118,2.4666460699444452,0.572343410910808,1e-31,2.0004505157023793,21.5223020865513,0.1580956845038503,,,,,,,,,,,273.5657341588418
74,74,-75.51724261496422,35.252165487466605,16149132.422301004,3,1.0506624543074103,0,False,1017,133.11992433735955,0.7018669611765926,0.3315060264287477,-0.12276939855678674,2.380047230211016,0.5429378237161369,1e-31,1.5476630069790693,48.61270628494041,0.634555672809564,,,,,,,,,,,254.403440174843
75,75,-75.51763192394198,35.24988403906554,16149387.782407628,3,1.024540910565046,0,False,991,127.1911029822231,0.7490648047180132,0.3322222627457415,-0.08966689054579625,2.5344478513903974,0.739265873544148,1e-31,1.841446038172234,43.46050507302983,0.8335969929971629,,,,,,,,,,,227.48047469335503
76,76,-75.51801275131655,35.247652185397094,16149637.467226826,3,1.1452356506211745,0,False,1003,114.48107155971817,0.6851035579039967,0.35564724576173307,-0.10569218084996357,2.4293735163039614,0.5424970803492045,1e-31,1.7419128999013722,26.73560529855751,0.21717663060377695,,,,,,,,,,,226.37741543687443
77,77,-75.51839585548021,35.24542525566253,16149886.709681094,3,1.1352337435270625,0,False,975,113.8802396286895,0.7186734831278854,0.31383732815763743,-0.08190749219789337,2.4503140034818918,0.7495585976867036,1e-31,7.747022493736486,3.5177550944978515,0.0600127278882113,,,,,,,,,,,270.8471269442435
78,78,-75.51877535878646,35.243214243024134,16150134.283811597,3,1.2777251990607312,0,False,1065,127.79485969187687,0.853877586087207,0.3442880461819573,-0.1087350937670028,2.471767490731423,0.77080779680767,1e-31,2.1411461921992347,26.286852039415134,0.34269754973933925,,,,,,,,,,,219.31891986183075
79,79,-75.51915737705605,35.2409605397843,16150386.505763244,3,1.1992104147272584,0,False,962,106.12127850921067,0.6387227139546219,0.3674904597789523,-0.09650608204870188,2.381014191569268,0.7725720881681275,1e-31,2.5009213539336446,21.34804090058238,0.19126483209895756,,,,,,,,,,,256.3118165191676
80,80,-75.51953786033009,35.238773070728094,16150631.346653065,3,1.0541704724515084,0,False,946,104.31111110212231,0.6910954829090858,0.3230257351910152,-0.09438087023207403,2.399189648285203,0.7278686551988051,1e-31,2.3112176280127,44.10453156382573,0.23531185983320427,,,,,,,,,,,245.2986471958593
81,81,-75.51993490252077,35.23646306235445,16150889.96002268,3,1.295364203609879,0,False,1007,128.7354305780205,0.7953914195834811,0.312984535919734,-0.08432064086286753,2.5176962743043836,0.5898462914128493,1e-31,2.229070348865979,27.646909497266055,0.19704082319751764,,,,,,,,,,,254.14617740969118
82,82,-75.52031916771324,35.23422645886974,16151140.301574541,3,1.0089133937886172,0,False,1060,116.0993081465604,0.6707701246888236,0.3642542068695316,-0.08468238609342996,2.4488392534049632,0.9351531800052267,1e-31,2.0009141614950456,16.716575821937838,0.08091420743563034,,,,,,,,,,,270.39546126104005
83,83,-75.52068810549159,35.23208243253152,16151380.278251342,3,1.0986025507361867,0,False,1102,162.2581723831557,0.6922493553365358,0.31924289541547857,-0.10971564236504436,2.4777372068705055,0.7072832069136936,1e-31,2.291601288675525,41.20282142738031,0.503482969219743,,,,,,,,,,,272.8678473797104
84,84,-75.52107277828867,35.2297905820935,16151636.757040385,3,1.0004042551436405,0,False,1015,107.41294679194786,0.6868074746293261,0.3193691502857515,-0.08866680541672876,2.445445965276267,0.7300750078189232,1e-31,1.8665898399216074,45.784496620078,0.49078980102730746,,,,,,,,,,,239.65733559092314
85,85,-75.52145529037935,35.22758015931653,16151884.17019081,3,1.073684829523665,0,False,1023,106.02143338545908,0.670344115826801,0.321804068552477,-0.07579992023141428,2.4828772476184735,1.0026444602015943,1e-31,2.9619578596506,13.028979336135773,0.062079083813698505,,,,,,,,,,,249.4535529161697
86,86,-75.52184590188189,35.225266228116425,16152143.108588848,3,1.029930380416644,0,False,965,90.66149922593378,0.7268405279701845,0.3302530099938846,-0.08805812308317078,2.3648535406670863,0.8150691685173319,1e-31,1.7911104838130987,48.910091916277075,1.1921150605886928,,,,,,,,,,,248.02277830209584
87,87,-75.52221070666539,35.22309609050404,16152385.932233742,3,1.1031182253618552,0,False,978,79.07928723575967,0.6941620059140409,0.3593263100058391,-0.06854084247040873,2.4239805874104987,0.772130026908467,1e-31,1.2696341019745068,40.58812858181171,0.7018417557978719,,,,,,,,,,,236.75354577908263
